"???","????","??","???","?(%)"
"0","??","6715","5087","75.76"
"1","???","428","133","31.07"
"2","???","115","19","16.52"
"3","???","150","29","19.33"
"4","???","139","80","57.55"
"5","???","100","29","29.00"
"6","???","119","25","21.01"
"7","???","165","23","13.94"
"8","???","150","44","29.33"
"9","???","195","129","66.15"
"10","???","118","113","95.76"
"11","???","124","115","92.74"
"12","???","245","240","97.96"
"13","???","256","249","97.27"
"14","????","138","136","98.55"
"15","???","222","15","6.76"
"16","???","93","87","93.55"
"17","???","112","110","98.21"
"18","???","96","91","94.79"
"19","???","127","120","94.49"
"20","???","158","14","8.86"
"21","???","138","134","97.10"
"22","???","151","144","95.36"
"23","???","163","161","98.77"
"24","???","149","138","92.62"
"25","???","106","105","99.06"
"26","???","97","95","97.94"
"27","???","46","44","95.65"
"28","???","275","264","96.00"
"29","???","110","104","94.55"
"30","????","108","104","96.30"
"31","???","87","83","95.40"
"32","???","141","126","89.36"
"33","???","193","182","94.30"
"34","???","143","137","95.80"
"35","???","168","160","95.24"
"36","???","105","102","97.14"
"37","???","105","102","97.14"
"38","???","166","163","98.19"
"39","???","90","86","95.56"
"40","???","107","103","96.26"
"41","???","110","105","95.45"
"42","???","127","113","88.98"
"43","???","116","104","89.66"
"44","???","113","107","94.69"
"45","???","109","106","97.25"
"46","????","161","136","84.47"
"47","???","81","78","96.30"
