"???","????","??","???","?(%)"
"0","??","157","101","64.33"
"1","???","16","4","25.00"
"2","???","4","1","25.00"
"3","???","1","0","0.00"
"4","???","2","0","0.00"
"5","???","2","0","0.00"
"6","???","2","0","0.00"
"7","???","1","0","0.00"
"8","???","2","0","0.00"
"9","???","1","1","100.00"
"10","???","0","0","100.00"
"11","???","0","0","100.00"
"12","???","0","0","100.00"
"13","???","31","30","96.77"
"14","????","1","1","100.00"
"15","???","2","0","0.00"
"16","???","2","1","50.00"
"17","???","2","2","100.00"
"18","???","0","0","100.00"
"19","???","2","1","50.00"
"20","???","0","0","100.00"
"21","???","2","0","0.00"
"22","???","1","0","0.00"
"23","???","0","0","100.00"
"24","???","7","7","100.00"
"25","???","1","1","100.00"
"26","???","2","2","100.00"
"27","???","2","2","100.00"
"28","???","14","6","42.86"
"29","???","0","0","100.00"
"30","????","1","0","0.00"
"31","???","4","3","75.00"
"32","???","3","2","66.67"
"33","???","2","1","50.00"
"34","???","2","2","100.00"
"35","???","0","0","100.00"
"36","???","1","0","0.00"
"37","???","2","2","100.00"
"38","???","2","1","50.00"
"39","???","1","1","100.00"
"40","???","5","1","20.00"
"41","???","7","7","100.00"
"42","???","5","5","100.00"
"43","???","2","2","100.00"
"44","???","7","2","28.57"
"45","???","1","1","100.00"
"46","????","6","6","100.00"
"47","???","6","6","100.00"
