idref,score,geom
n00114,45,0,010100002004120000846973F754696040D13538B643D63F40
n00115,45,0,0101000020041200008081204086696040F31C91EF52D63F40
n00116,45,0,0101000020041200001FC5EF5C8E696040F7E1C56757D63F40
n00117,45,0,010100002004120000D12AE9179B696040C5611F532DD63F40
n00118,45,0,010100002004120000A226FA7C9469604073034F6BE4D43F40
n00120,45,0,010100002004120000DC1F39E3C56E60401144CCDBC7FE3F40
n00122,45,0,0101000020041200003ACD02ED8E6D6040BB383B63A9E53F40
n00123,45,0,010100002004120000786AE4A9FD6D60403E100F176FEE3F40
n00125,45,0,0101000020041200001E392DD34A6D6040D6BB896BC6F53F40
n00126,45,0,010100002004120000DC1F39E3856D60405174136BA7DE3F40
n00127,45,0,01010000200412000019051C9D4E6D6040409E020583F03F40
n00128,45,0,01010000200412000098CF036910676040EB8CEF8B4B753F40
n00129,45,0,010100002004120000C5AEEDED166760401ABC541113773F40
n00130,45,0,01010000200412000046611745CF676040C138B874CC7B3F40
n00132,45,0,0101000020041200009E7532DD9067604053F1DA00C77F3F40
n00133,45,0,0101000020041200005A7336D33367604000C63368E8753F40
n00134,45,0,0101000020041200004A3261EA9D676040ADE2E88596863F40
n00135,45,0,010100002004120000C440D7BE00686040742E200FD8823F40
n00136,45,0,0101000020041200005B0A48FB9F67604012D841CAF4743F40
n00137,45,0,010100002004120000F29AB22EC969604052932A9B83653F40
n00138,45,0,01010000200412000061FF756E1A706040636424D63D104040
n00139,45,0,0101000020041200001A4520A8247060405C751DAA29114040
n00140,45,0,010100002004120000DAFBF95B677060409263A18CA70F4040
n00141,45,0,01010000200412000095F7CCED39706040CF09EB1049114040
n00142,45,0,0101000020041200004DD6A887A87060408F5EC3C2FF0F4040
n00143,45,0,0101000020041200004FCAA486B6706040FB88A93EA1104040
n00144,45,0,010100002004120000721019FBB7706040ED84F29947104040
n00145,45,0,01010000200412000074FDCC6A4B706040ABBAFDA83C114040
n00146,45,0,0101000020041200002E008DD265706040F3FFAA2347104040
n00147,45,0,0101000020041200004056A64E766F60405DF7FB6AB3074040
n00154,45,0,01010000200412000070AF71A2C27060403A3A538D03184040
n00155,45,0,0101000020041200005A8A9A9EA6706040A15F00868A164040
n00156,45,0,0101000020041200008A671A5EDA70604088FC8E3C6B184040
n00157,45,0,01010000200412000026A94C3147716040EC3AAF0C051C4040
n00158,45,0,010100002004120000292B3C1EE9716040FD7964BD62214040
n00159,45,0,0101000020041200006BE74537CC7160402C8CE3761E214040
n00160,45,0,010100002004120000349A01D30E7260400EA4E6069E224040
n00161,45,0,010100002004120000E84A04AAFF71604024F7CF2E3A224040
n00162,45,0,010100002004120000B4B4AE2CAC716040C1374D9F1D204040
n00163,45,0,010100002004120000C6EFB7870E6F60404CFC51D499144040
n00164,45,0,0101000020041200001DFA38E4F06E604097F26B3535144040
n00165,45,0,0101000020041200004DB8FC2CFB5E60402AFEEF880AFF3F40
n00166,45,0,0101000020041200000F63D2DF0B5F60404BEBCAC232FD3F40
n00167,45,0,010100002004120000062406261C5F60402F7FCF59B0FE3F40
n00168,45,0,01010000200412000080F0A1444B5F6040FF9DA34401FF3F40
n00170,45,0,01010000200412000098B9652C7F5E6040D784B4C6A0F73F40
n00171,45,0,010100002004120000F50368A51A5F604069D48DC1D4FE3F40
n00172,45,0,010100002004120000F8640FFECF5E60405D41898510004040
n00173,45,0,010100002004120000A417B5FB955F60402364C515BCFD3F40
n00174,45,0,010100002004120000B977C36C385F6040D0D8F225AFF93F40
n00175,45,0,010100002004120000E8813408D85F604038876BB587FB3F40
n00176,45,0,010100002004120000AA0B1DE02E606040C581469F45014040
n00177,45,0,010100002004120000AC4D08C2BA5E60407D68D59DDDFE3F40
n00178,45,0,01010000200412000023426D65135D6040D28668194E044040
n00179,45,0,0101000020041200001763601D075F60402467BC08AEFD3F40
n00180,45,0,010100002004120000E36597B90A626040ACAF09C446FA3F40
n00181,45,0,0101000020041200009CD77D6CF762604092E2885A3FF63F40
n00182,45,0,01010000200412000009F6042E346360404683CAAE6AF53F40
n00183,45,0,010100002004120000514EB4AB106560406DB477A114564040
n00184,45,0,010100002004120000128D49DAE8666040355948652F5C4040
n00185,45,0,010100002004120000CBF3E0EE6C666040CAE7CBC122574040
n00186,45,0,0101000020041200004462CCA7D86960403B7881EDBB5B4040
n00187,45,0,0101000020041200000B39002C3C6A6040BE62B25D465A4040
n00188,45,0,01010000200412000095D16D2E236B60402A00C633685D4040
n00189,45,0,0101000020041200004BC741AE396B6040EED9290C805D4040
n00190,45,0,01010000200412000042E90B21E769604075502E32A65A4040
n00191,45,0,0101000020041200003F462F598B6C6040A002BBF5F5524040
n00192,45,0,010100002004120000B73E517E776C6040CC77955A94534040
n00193,45,0,010100002004120000AB329DE7995F604068603F1FC0F53F40
n00194,45,0,010100002004120000CE3FB099326060407C670F0FBCED3F40
