gmlid,idref,area,fixed,lat,lon
n00217,null,21,0,35.4084113,137.2455768
n00218,null,21,0,35.3121013,137.3092594
n00219,null,21,0,35.3759383,137.2619538
n00220,null,21,0,35.3614517,137.22763
n00221,null,21,0,35.3603406,137.2369593
n00222,588963407,21,1,35.3688089,137.2501945
n00223,null,21,0,35.4074038,137.2990176
n00224,null,21,0,35.3496547,137.2694839
n00225,null,21,0,35.3466122,137.2735818
n00226,590771315,21,50,35.357172,137.2526516
n00227,776470091,21,50,35.3593204,137.2483104
n00228,2418690250,21,50,35.3840318,136.6804794
n00229,null,21,0,35.4140381,136.6729879
n00230,null,21,0,35.4052638,136.6736668
n00231,null,21,0,35.3836829,136.6913327
n00232,null,21,0,35.3894355,136.6908242
n00233,null,21,0,35.3942522,136.6937805
n00234,null,21,0,35.4123432,136.6550795
n00235,null,21,0,35.4127507,136.6498041
n00236,null,21,0,35.394825,136.650881
n00237,null,21,0,35.3952477,136.6503088
n00238,null,21,0,35.3688735,136.6758351
n00239,2418689404,21,1,35.380256,136.6714729
n00240,null,21,0,35.3857608,136.6856963
n00241,null,21,0,35.5614655,136.7875636
n00242,null,21,0,35.5889934,136.7480981
n00243,null,21,0,35.5109713,136.7898711
n00244,null,21,0,35.5430006,136.7202409
n00245,null,21,0,35.4982124,136.7873462
n00246,null,21,0,35.5011861,136.7877692
n00247,null,21,0,35.4940145,136.7874173
n00248,null,21,0,36.1569806,137.2441068
n00249,null,21,0,36.1350083,137.2557067
n00250,null,21,0,36.1612967,137.2483649
n00251,4457484989,21,1,36.1611703,137.2424888
n00252,null,21,0,36.0887527,137.3527261
n00253,null,21,0,36.088854,137.3512152
n00254,null,21,0,36.079482,137.3741922
n00255,null,21,0,35.9883421,137.370371
n00256,null,21,0,36.0194634,137.3900336
n00257,null,21,0,36.0194421,137.3900153
n00258,null,21,0,36.1702542,137.3106311
n00259,4457397494,21,1,36.1749917,137.4542096
n00260,4458842589,21,1,36.016417,136.9856171
n00261,null,21,0,36.1288977,137.2520394
n00262,null,21,0,36.1174618,137.2629161
n00263,null,21,0,36.1291149,137.2502646
n00264,null,21,0,36.1315492,137.2487896
n00265,5835414386,21,1,36.1281923,137.1855761
n00266,5835414387,21,1,36.1311479,137.1911868
n00267,null,21,0,36.1401579,137.0821816
n00268,5835414388,21,1,36.1383602,137.2146508
n00269,null,21,0,36.2851934,137.3655206
n00270,null,21,0,36.2697996,137.4052639
n00271,null,21,0,36.2831145,137.3654444
n00272,null,21,0,36.1635856,137.2336202
n00273,5386929821,21,1,36.1368182,137.2345422
n00274,5386911044,21,1,36.137592,137.2391707
n00275,null,21,0,36.1374539,137.2447364
n00276,null,21,0,36.1508103,137.2709938
n00277,null,21,0,36.1508182,137.2711121
n00278,null,21,0,36.1495868,137.276824
n00279,null,21,0,36.1501874,137.2488683
n00280,null,21,0,36.1482298,137.2190168
n00281,null,21,0,36.1403671,137.228577
n00282,null,21,0,36.1537365,137.2601888
n00283,null,21,0,36.1515354,137.262548
n00284,null,21,0,36.2123173,137.208319
n00285,null,21,0,36.2050428,137.223587
n00286,null,21,0,36.0338102,137.4776206
n00287,null,21,0,36.1573143,137.2505713
n00288,null,21,0,36.1575801,137.2528684
n00289,null,21,0,36.0496405,137.2731666
n00290,null,21,0,36.0814988,137.2923959
n00291,null,21,0,36.0532668,137.275132
n00292,4782402625,21,1,36.1425538,137.2530719
n00293,6164766429,21,50,36.1384818,137.2528745
n00294,null,21,0,36.1402094,137.2524966
n00295,6419666402,21,1,36.1540188,137.2441993
n00296,null,21,0,36.1527531,137.2451555
n00297,null,21,0,36.1847341,137.5510573
n00298,4785942325,21,1,36.2383988,137.5289232
n00299,null,21,0,36.0848944,137.2486646
n00300,null,21,0,35.3003397,137.3668853
n00301,null,21,0,35.3036193,137.387607
n00302,null,21,0,35.3029152,137.3861639
n00303,null,21,0,35.4325357,137.337547
n00304,null,21,0,35.4406292,137.3616887
n00305,null,21,0,35.433667,137.3418202
n00306,null,21,0,35.4513578,137.4079525
n00307,null,21,0,35.4514092,137.4103368
n00308,null,21,0,35.4504292,137.4112758
n00309,null,21,0,35.450429,137.4112763
n00310,null,21,0,35.4444492,137.3997562
n00311,null,21,0,35.5239464,137.3128356
n00312,null,21,0,35.5159547,137.2986956
n00313,2609116070,21,50,35.455224,137.4289219
n00314,null,21,0,35.4562316,137.4367632
n00315,4918996093,21,1,35.4543682,137.4368003
n00316,null,21,0,35.3003092,137.4928954
n00317,null,21,0,35.3503341,137.3949632
n00318,null,21,0,35.3260175,137.3520093
n00319,null,21,0,35.3494268,137.3653438
n00320,null,21,0,35.3440068,137.3657041
n00321,null,21,0,35.2632215,137.4088986
n00322,null,21,0,35.3843394,137.4327275
n00323,null,21,0,35.3788907,137.4319264
n00324,null,21,0,35.3640757,137.4377698
n00325,null,21,0,35.3647924,137.4354761
n00326,null,21,0,35.7438725,137.0762158
n00327,null,21,0,35.745366,137.078637
n00328,null,21,0,35.8432417,137.0265084
n00329,null,21,0,35.8621755,137.1216601
n00330,null,21,0,35.660014,136.9564415
n00331,null,21,0,35.6404453,136.9468565
n00332,null,21,0,35.6343486,136.9482629
n00333,4071103963,21,1,35.738001,137.007296
n00334,null,21,0,35.757899,136.9534126
n00335,null,21,0,35.7435922,136.9485278
n00336,null,21,0,35.7550855,136.967501
n00337,null,21,0,35.6587379,137.0289511
n00338,null,21,0,35.7855692,137.007579
n00339,372411666,21,50,35.7582749,136.9421574
n00340,null,21,0,35.7324506,136.9535546
n00341,372590116,21,50,35.9284595,136.8303146
n00342,null,21,0,35.8810826,136.8587478
n00343,null,21,0,35.8794941,136.8587906
n00344,null,21,0,35.9760878,136.7722875
n00345,null,21,0,35.8869932,136.8542757
n00346,null,21,0,35.8705875,136.8605999
n00347,null,21,0,35.8118252,136.8992703
n00348,null,21,0,35.8061457,136.9043108
n00349,null,21,0,35.793066,136.9076125
n00350,null,21,0,35.7861697,136.9136143
n00351,6438097216,21,1,35.9873071,136.9108333
n00352,null,21,0,35.9490916,136.8777174
n00353,null,21,0,36.004292,136.9049274
n00354,null,21,0,35.9748342,136.9089231
n00355,null,21,0,35.3944702,136.7261387
n00356,null,21,0,35.3939302,136.739989
n00357,null,21,0,35.3941325,136.7410558
n00358,2517042225,21,50,35.3882682,136.7460868
n00359,null,21,0,35.389284,136.7451646
n00360,null,21,0,35.4146127,136.7670782
n00361,null,21,0,35.3933802,136.7165556
n00362,null,21,0,35.3652321,136.7101979
n00363,null,21,0,35.3680816,136.7417606
n00364,1722865775,21,1,35.3615436,136.7413475
n00365,null,21,0,35.36457,136.7362637
n00366,null,21,0,35.3652511,136.7569839
n00367,null,21,0,35.3653333,136.7575295
n00368,null,21,0,35.4163295,136.8021549
n00369,null,21,0,35.4224724,136.7574191
n00370,null,21,0,35.4214871,136.751095
n00371,6351711651,21,1,35.503076,136.8308658
n00372,null,21,0,35.4268924,136.7277007
n00373,null,21,0,35.4108615,136.7859482
n00374,null,21,0,35.4145766,136.7856151
n00375,584319555,21,1,35.4566754,136.7709408
n00376,3825558033,21,1,35.4543001,136.7678576
n00377,null,21,0,35.4117547,136.7430082
n00378,3822165578,21,1,35.4110629,136.7806732
n00379,null,21,0,35.4296947,136.8106839
n00380,null,21,0,35.4150848,136.7623565
n00381,null,21,0,35.4162578,136.7842296
n00382,566232453,21,1,35.4506347,136.7139729
n00383,null,21,0,35.4327578,136.7464475
n00384,null,21,0,35.4153362,136.7469799
n00385,588386759,21,1,35.4496598,136.7857071
n00386,null,21,0,35.4441441,136.7735456
n00387,null,21,0,35.429899,136.7597359
n00388,null,21,0,35.3827099,136.7309491
n00389,null,21,0,35.3834907,136.7330143
n00390,null,21,0,35.491101,136.8362601
n00391,null,21,0,35.3634454,136.6961508
n00392,null,21,0,35.3671696,136.7015468
n00393,2140168769,21,1,35.4346619,136.7262124
n00394,null,21,0,35.4362372,136.7364371
n00395,591639419,21,1,35.4493588,136.8197934
n00396,579330477,21,1,35.4411364,136.7388311
n00397,585144078,21,1,35.4949874,136.6994119
n00398,null,21,0,35.3968377,136.801047
n00399,null,21,0,35.4304337,136.7053137
n00400,null,21,0,35.4076624,136.8018715
n00401,null,21,0,35.4576381,136.7326248
n00402,562475449,21,1,35.4580716,136.7291717
n00403,566004401,21,1,35.4585688,136.7315379
n00404,null,21,0,35.3842844,136.7292194
n00405,null,21,0,35.42358,136.7477279
n00406,null,21,0,35.3979482,136.7629959
n00407,null,21,0,35.4084659,136.7266986
n00408,null,21,0,35.4091684,136.7273892
n00409,null,21,0,35.3813576,136.762892
n00410,null,21,0,35.4122071,136.6942117
n00411,null,21,0,35.4061758,136.7375934
n00412,577465683,21,1,35.4540427,136.7472002
n00413,577465698,21,1,35.4539972,136.7497204
n00414,577520208,21,1,35.4524254,136.7429709
n00415,null,21,0,35.4247296,136.7353355
n00416,null,21,0,35.4078364,136.8111569
n00417,null,21,0,35.4262573,136.7647571
n00418,null,21,0,35.3986081,136.7654597
n00419,570574835,21,1,35.481755,136.6959559
n00420,null,21,0,35.3909448,136.8029281
n00421,null,21,0,35.4158205,136.7428583
n00422,null,21,0,35.4019419,136.7262925
n00423,578522404,21,1,35.4465777,136.7535319
n00424,null,21,0,35.3998225,136.7908464
n00425,563607147,21,1,35.4639738,136.7291947
n00426,null,21,0,35.4585324,136.7217981
n00427,null,21,0,35.4128456,136.7285633
n00428,1769521985,21,1,35.3980311,136.7267506
n00429,584069362,21,1,35.44808,136.7740371
n00430,null,21,0,35.4165408,136.7766276
n00431,null,21,0,35.4076571,136.7121196
n00432,1804703133,21,50,35.4102244,136.75358
n00433,null,21,0,35.4364997,136.8401251
n00434,null,21,0,35.4078634,136.8079067
n00435,null,21,0,35.4270764,136.8441157
n00436,null,21,0,35.4740941,136.7812171
n00437,null,21,0,35.4578757,136.8473087
n00438,null,21,0,35.4617396,136.8303633
n00439,null,21,0,35.4071196,136.7626282
n00440,1750571271,21,1,35.3928537,136.7138167
n00441,null,21,0,35.3932606,136.713033
n00442,null,21,0,35.4543291,136.7586893
n00443,null,21,0,35.3986936,136.7373686
n00444,null,21,0,35.4976699,136.7272035
n00445,null,21,0,35.4816496,136.7837221
n00446,null,21,0,35.488764,136.7842626
n00447,null,21,0,35.3897548,136.7514949
n00448,null,21,0,35.3813111,136.7473874
