gmlid,area,fixed,lat,lon
n22425,3,0,38.956237,141.257609
n22426,3,50,38.989844,141.250942
n22427,3,0,39.016506,141.232609
n22428,3,0,38.849511,141.29628
n22429,3,0,38.890513,141.337077
n22430,3,0,38.787355,141.408077
n22431,3,0,38.859919,141.348977
n22432,3,0,38.845701,141.375315
n22433,3,50,38.922346,141.112624
n22434,3,50,38.978177,141.20428
n22435,3,50,38.958264,141.174464
n22436,3,0,39.073454,141.581744
n22437,3,0,39.006518,141.616466
n22438,3,0,38.991194,141.614391
n22439,3,0,38.962379,141.694319
n22440,3,0,39.015702,141.625669
n22441,3,0,39.027028,141.630693
n22442,3,0,38.987356,141.700625
n22443,3,50,39.032274,141.620262
n22444,3,0,39.012579,141.657855
n22445,3,0,39.032068,141.531749
n22446,3,50,39.023378,141.582341
n22447,3,0,39.324114,141.879409
n22448,3,50,39.339182,141.855107
n22449,3,50,39.359802,141.767649
n22450,3,0,39.3507,141.826994
n22451,3,50,39.256238,141.81277
n22452,3,50,39.280114,141.718024
n22453,3,0,39.24966,141.759251
n22454,3,50,39.263128,141.836431
n22455,3,50,39.269225,141.835668
n22456,3,0,39.266233,141.884485
n22457,3,0,39.259536,141.890605
n22458,3,50,39.275455,141.882731
n22459,3,0,39.268867,141.857359
n22460,3,50,39.209001,141.866434
n22461,3,50,39.322055,141.917096
n22462,3,0,39.274223,141.888418
n22463,3,0,39.246205,141.884236
n22464,3,0,39.236903,141.921467
n22465,3,0,39.337317,141.891326
n22466,3,0,39.258423,141.825619
n22467,3,0,39.309429,141.88968
n22468,3,50,39.27392,141.866827
n22469,3,0,40.234988,141.221491
n22470,3,0,40.316634,141.305892
n22471,3,0,40.268859,141.20507
n22472,3,0,40.182893,141.154028
n22473,3,50,40.258864,141.289229
n22474,3,0,40.268308,141.299228
n22475,3,50,40.279417,141.299228
n22476,3,0,40.295248,141.299227
n22477,3,0,40.11582,140.882763
n22478,3,0,40.116489,141.053751
n22479,3,0,40.10082,141.047868
n22480,3,0,39.926266,141.04838
n22481,3,0,39.980557,141.107031
n22482,3,0,40.049714,141.003431
n22483,3,0,39.910983,141.09905
n22484,3,0,40.123874,141.093697
n22485,3,0,39.916398,141.086203
n22486,3,0,39.914008,140.977376
n22487,3,0,39.899527,141.0774
n22488,3,0,39.94753,141.093495
n22489,3,0,40.138313,140.948153
n22490,3,50,39.953544,141.064913
n22491,3,0,39.015401,141.10943
n22492,3,0,39.040765,141.063696
n22493,3,0,39.003724,141.005513
n22494,3,0,39.076099,141.008914
n22495,3,0,39.172042,141.156777
n22496,3,0,39.159544,141.177331
n22497,3,0,39.181767,141.305652
n22498,3,0,39.214538,141.15622
n22499,3,0,39.23509,141.122611
n22500,3,0,39.228427,141.243156
n22501,3,0,39.25509,141.210658
n22502,3,0,39.118732,141.254872
n22503,3,0,39.154797,141.227836
n22504,3,0,39.158823,141.203317
n22505,3,0,39.183432,141.246213
n22506,3,0,39.188708,141.175942
n22507,3,0,39.197642,141.348725
n22508,3,0,39.233428,141.311484
n22509,3,0,39.284532,141.262597
n22510,3,0,39.247837,141.263345
n22511,3,50,39.142054,141.185838
n22512,3,0,39.138643,141.139598
n22513,3,50,39.139131,141.156329
n22514,3,0,39.091497,141.190944
n22515,3,0,39.162876,141.130113
n22516,3,0,39.15053,141.153674
n22517,3,50,39.140934,141.145946
n22518,3,50,39.114504,141.167726
n22519,3,0,39.111515,141.139342
n22520,3,50,39.096772,141.134004
n22521,3,50,39.13561,141.153964
n22522,3,50,39.14399,141.14289
n22523,3,50,39.128435,141.136503
n22524,3,0,39.080385,141.134838
n22525,3,0,39.05261,141.123729
n22526,3,0,39.057611,141.175113
n22527,3,50,39.034002,141.151783
n22528,3,0,39.071498,141.163447
n22529,3,50,39.126192,140.986894
n22530,3,0,39.130933,141.059287
n22531,3,0,39.100102,141.030957
n22532,3,0,39.115658,141.117338
